0.100,0.981
0.200,1.962
0.300,2.943
0.400,3.924
0.500,4.905
0.600,5.886
0.700,6.867
0.800,7.848
0.900,8.829
1.000,9.810
0.120,1.102
0.220,2.156
0.320,3.210
0.420,4.264
0.520,5.318
0.620,6.372
0.720,7.426
0.820,8.480
0.920,9.534
1.020,10.588
0.110,1.042
0.210,2.084
0.310,3.126
0.410,4.168
0.510,5.210
0.610,6.252
0.710,7.294
0.810,8.336
0.910,9.378
1.010,10.420
0.105,0.991
0.205,1.982
0.305,2.973
0.405,3.964
0.505,4.955
0.605,5.946
0.705,6.937
0.805,7.928
0.905,8.919
1.005,9.910
0.115,1.056
0.215,2.112
0.315,3.168
0.415,4.224
0.515,5.280
0.615,6.336
0.715,7.392
0.815,8.448
0.915,9.504
1.015,10.560
0.095,0.932
0.195,1.864
0.295,2.796
0.395,3.728
0.495,4.660
0.595,5.592
0.695,6.524
0.795,7.456
0.895,8.388
0.995,9.320
0.108,1.024
0.208,2.048
0.308,3.072
0.408,4.096
0.508,5.120
0.608,6.144
0.708,7.168
0.808,8.192
0.908,9.216
1.008,10.240
0.102,0.967
0.202,1.934
0.302,2.901
0.402,3.868
0.502,4.835
0.602,5.802
0.702,6.769
0.802,7.736
0.902,8.703
1.002,9.670
0.112,1.078
0.212,2.156
0.312,3.234
0.412,4.312
0.512,5.390
0.612,6.468
0.712,7.546
0.812,8.624
0.912,9.702
1.012,10.780
0.098,0.941
0.198,1.882
0.298,2.823
0.398,3.764
0.498,4.705
0.598,5.646
0.698,6.587
0.798,7.528
0.898,8.469
0.998,9.410
0.104,0.999
0.204,1.998
0.304,2.997
0.404,3.996
0.504,4.995
0.604,5.994
0.704,6.993
0.804,7.992
0.904,8.991
1.004,9.990
0.107,1.012
0.207,2.024
0.307,3.036
0.407,4.048
0.507,5.060
0.607,6.072
0.707,7.084
0.807,8.096
0.907,9.108
1.007,10.120
0.103,0.978
0.203,1.956
0.303,2.934
0.403,3.912
0.503,4.890
0.603,5.868
0.703,6.846
0.803,7.824
0.903,8.802
1.003,9.780
0.109,1.034
0.209,2.068
0.309,3.102
0.409,4.136
0.509,5.170
0.609,6.204
0.709,7.238
0.809,8.272
0.909,9.306
1.009,10.340
0.096,0.922
0.196,1.844
0.296,2.766
0.396,3.688
0.496,4.610
0.596,5.532
0.696,6.454
0.796,7.376
0.896,8.298
0.996,9.220
0.106,1.017
0.206,2.034
0.306,3.051
0.406,4.068
0.506,5.085
0.606,6.102
0.706,7.119
0.806,8.136
0.906,9.153
1.006,10.170
0.101,0.956
0.201,1.912
0.301,2.868
0.401,3.824
0.501,4.780
0.601,5.736
0.701,6.692
0.801,7.648
0.901,8.604
1.001,9.560
0.113,1.089
0.213,2.178
0.313,3.267
0.413,4.356
0.513,5.445
0.613,6.534
0.713,7.623
0.813,8.712
0.913,9.801
1.013,10.890
0.097,0.932
0.197,1.864
0.297,2.796
0.397,3.728
0.497,4.660
0.597,5.592
0.697,6.524
0.797,7.456
0.897,8.388
0.997,9.320
0.105,1.008
0.205,2.016
0.305,3.024
0.405,4.032
0.505,5.040
0.605,6.048
0.705,7.056
0.805,8.064
0.905,9.072
1.005,10.080
0.099,0.949
0.199,1.898
0.299,2.847
0.399,3.796
0.499,4.745
0.599,5.694
0.699,6.643
0.799,7.592
0.899,8.541
0.999,9.490
0.111,1.067
0.211,2.134
0.311,3.201
0.411,4.268
0.511,5.335
0.611,6.402
0.711,7.469
0.811,8.536
0.911,9.603
1.011,10.670
0.114,1.101
0.214,2.202
0.314,3.303
0.414,4.404
0.514,5.505
0.614,6.606
0.714,7.707
0.814,8.808
0.914,9.909
1.014,11.010
0.094,0.903
0.194,1.806
0.294,2.709
0.394,3.612
0.494,4.515
0.594,5.418
0.694,6.321
0.794,7.224
0.894,8.127
0.994,9.030
0.117,1.128
0.217,2.256
0.317,3.384
0.417,4.512
0.517,5.640
0.617,6.768
0.717,7.896
0.817,9.024
0.917,10.152
1.017,11.280
0.092,0.884
0.192,1.768
0.292,2.652
0.392,3.536
0.492,4.420
0.592,5.304
0.692,6.188
0.792,7.072
0.892,7.956
0.992,8.840
0.116,1.119
0.216,2.238
0.316,3.357
0.416,4.476
0.516,5.595
0.616,6.714
0.716,7.833
0.816,8.952
0.916,10.071
1.016,11.190
0.093,0.894
0.193,1.788
0.293,2.682
0.393,3.576
0.493,4.470
0.593,5.364
0.693,6.258
0.793,7.152
0.893,8.046
0.993,8.940
0.118,1.137
0.218,2.274
0.318,3.411
0.418,4.548
0.518,5.685
0.618,6.822
0.718,7.959
0.818,9.096
0.918,10.233
1.018,11.370
0.091,0.875
0.191,1.750
0.291,2.625
0.391,3.500
0.491,4.375
0.591,5.250
0.691,6.125
0.791,7.000
0.891,7.875
0.991,8.750
0.119,1.146
0.219,2.292
0.319,3.438
0.419,4.584
0.519,5.730
0.619,6.876
0.719,8.022
0.819,9.168
0.919,10.314
1.019,11.460
0.090,0.866
0.190,1.732
0.290,2.598
0.390,3.464
0.490,4.330
0.590,5.196
0.690,6.062
0.790,6.928
0.890,7.794
0.990,8.660

